Madagascar,Antananarivo,Malagasy Ariary,Malagasy, French, English
Prime Minister –Christian Ntsay
Malawi,Lilongwe,Kwacha,English
President – Lazarus Chakwera
Malaysia,Kuala Lumpur,Ringgit,Malay, Prime Minister – Anwar bin Ibrahim
Maldives,Male,Rufiyaa,Dhivehi, President – Ibrahim Mohamed Solih
Mali,Bamako,CFA Franc,French, Prime Minister- Choguel Kokalla Maïga
Malta,Valletta,Euro,Maltese, English, Prime Minister – Robert Abela
Marshall Islands,Majuro,U.S. Dollar,Marshallese, English, President – David Kabua
CountryName,Capital,Currency,OfficialLanguage
Mauritania,Nouakchott,Ouguiya,Arabic
Prime Minister – Mohamed Ould Bilal
Mauritius,Port Louis,Mauritian rupee,English
Prime Minister – Pravind Jugnauth
Mexico,Mexico City,Mexican peso,Spanish
President – Andrés Manuel López Obrador
Federated States of Micronesia,Palikir,U.S. Dollar,English
President – Wesley Simina
Moldova,Chisinau,Leu,Moldovan (Romanian)
Prime Minister – Dorin Recean
Monaco,Monte Carlo,Euro,French, Italian, English
Minister of State – Pierre Dartout
Mongolia,Ulaanbaatar,Togrog,Mongolian
Prime Minister – Luvsannamsrain Oyun-Erdene
Montenegro,Podgorica,Euro,Montenegrin
Prime Minister – Dritan Abazović
Morocco,Rabat,Dirham,Arabic
Prime Minister-Aziz Akhannouch
Mozambique,Maputo,Metical,Portuguese
Prime Minister – Adriano Maleiane
Myanmar (Burma),Nay Pyi Taw,Kyat,Burmese
President– Myint Swe
Namibia,Windhoek,Namibian dollar,English, Afrikaans, German
Prime Minister – Saara Kuugongelwa-Amadhila
Nauru,no official capital, government offices in Yaren District,Australian dollar,English, Nauran
President – Russ Kun
Nepal,Kathmandu,Nepalese rupee,Nepali
Prime Minister – Pushpa Kamal Dahal
Netherlands,Amsterdam, The Hague (seat of government),Euro (formerly guilder),Dutch
Prime Minister – Mark Rutte
New Zealand,Wellington,New Zealand dollar,English
Prime Minister – Chris Hipkins
Nicaragua,Managua,Gold cordoba,Spanish
President – Daniel Ortega
Niger,Niamey,CFA Franc,French
Prime Minister – Ali Lamine Zeine
Nigeria,Abuja,Naira,English
President - Bola Tinubu
Norway,Oslo,Norwegian krone,Norwegian
Prime Minister – Jonas Gahr Støre
Oman,Muscat,Omani rial,Arabic, Sultan and Prime Minister – Haitham bin Tariq
Pakistan,Islamabad,Pakistani rupee,Urdu, English
Prime Minister – Anwaar ul Haq Kakar
Palau,Melekeok,U.S. dollar,English, Palauan
Vice President – Surangel S. Whipps Jr.
Palestine,Ramallah, East Jerusalem,Palestine Pound,Arabic
Prime Minister - Mohammad Shtayyeh
Panama,Panama City,Balboa, U.S. dollar,Spanish
President – Laurentino Cortizo
Papua New Guinea,Port Moresby ,Kina,English, Tok Pisin
Prime Minister – James Marape
Paraguay,Asuncion,Guaraní,Spanish, Guarani
President – Santiago Peña
Peru,Lima,Nuevo sol (1991),Spanish
President - Dina Boluarte
Philippines,Manila,Peso,Filipino, English
President – Bongbong Marcos
Poland,Warsaw,Zloty,Polish
President – Andrzej Duda
Portugal,Lisbon,Euro (formerly escudo),Portuguese
Prime Minister – António Costa
Qatar,Doha,Qatari riyal,Arabic
Prime Minister – Mohammed bin Abdulrahman bin Jassim Al Thani
Romania,Bucharest,Romanian Leu,Romanian
Prime Minister – Marcel Ciolacu
Russia,Moscow,Ruble,Romanian
Prime Minister – Mikhail Vladimirovich Mishustin
Rwanda,Kigali,Rwandan franc,Russian
Prime Minister – Édouard Ngirente
Saint Kitts and Nevis,Basseterre,East Caribbean dollar,English
Prime Minister – Terrance Drew
Saint Lucia,Castries,East Caribbean dollar,English
Prime Minister – Philip J. Pierre
Saint Vincent and the Grenadines,Kingstown,East Caribbean dollar,English
Prime Minister – Ralph Gonsalves
Samoa,Apia,Tala,Samoan, English
Prime Minister – Fiame Naomi Mata’afa
San Marino,San Marino,Euro,Italian
Head - HE Ms Maria Luisa Berti II and HE Mr Manuel Ciavatta I
Sao Tome and Principe,Sao Tome,Dobra,Portuguese
Prime Minister – Patrice Trovoada
Saudi Arabia,Riyadh,Riyal,Arabic
King and Prime Minister – Mohammed bin Salman
Senegal,Dakar,CFA Franc,French
Prime Minister – Amadou Ba
Serbia,Belgrade,Serbian Dinar,Serbian
Prime Minister – Ana Brnabić
Seychelles,Victoria,Seychelles rupee,Seychellois Creole, French English
President – Wavel Ramkalawan
Sierra Leone,Freetown,Leone,English
President – Julius Maada Wonie Bio
Singapore,Singapore,Singapore dollar,English, Chinese and Malay
Prime Minister – Lee Hsien Loong
Slovakia,Bratislava,Euro,Slovak
Prime Minister – Ľudovít Ódor
Slovenia,Ljubljana,Slovenian tolar, euro (as of 1/1/07),Slovene
Prime Minister – Robert Golob
Solomon Islands,Honiara,Solomon Islands dollar,English
Prime Minister – Manasseh Sogavare
Somalia,Mogadishu,Somali shilling,Somali Arabic
Prime Minister – Hamza Abdi Barre
South Africa,Pretoria (administrative), Cape Town (legislative), Bloemfontein (judiciary),Rand
Afrikaans, English, Southern Ndebele, Northern Sotho, Southern Sotho, Swazi, Tsonga, Tswana, Venda, Xhosa, Zulu
President – Cyril Ramaphosa
South Sudan,Juba,Sudanese Pound,English
President – Salva Kiir Mayardit
Spain,Madrid,Euro (formerly peseta),Spanish, Catalan Galician, Gasque
Prime Minister - Pedro Sánchez
Sri Lanka,Colombo, Sri Jayewardenepura Kotte (legislative),Sri Lankan rupee,Sinhala, Tamil
Prime Minister - Dinesh Gunawardena
Sudan,Khartoum,Sudanese Pound,Arabic, English, Prime Minister – Osman Hussein
Suriname,Paramaribo,Surinamese dollar,Dutch
President – Chabdrikapersad ‘Chan’ Santokhi
Swaziland,Mbabane,Lilangeni,English, Swati
Prime Minister – Cleopas Dlamini
Sweden,Stockholm,Krona,Swedish
Prime Minister – Ulf Kristersson
Switzerland,Berne,Swiss franc,German, French, Italian, Romansh
President - Alain Berset
Syria,Damascus,Syrian pound,Arabic
Prime Minister – Hussein Arnous
Taiwan,Taipei,Taiwan dollar,Standard Chinese
President - Tsai Ing-wen
Tajikistan,Dushanbe,somoni,Tajik, Russian
Prime Minister – Kokhir Rasulzoda
Tanzania,Dar es Salaam, Dodoma (legislative),Tanzanian shilling,Swahili, English
Prime Minister – Kassim Majaliwa
Thailand,Bangkok,Baht,Thai
Prime Minister – Srettha Thavisin
Togo,Lome,CFA Franc,French
Prime Minister – Victoire Tomegah Dogbé
Tonga,Nuku'alofa,Pa'anga,English
Prime Minister – Siaosi Sovaleni
Trinidad and Tobago,Port-of-Spain,Trinidad and Tobago dollar,English
Prime Minister – Keith Rowley
Tunisia,Tunis,Tunisian dinar,Arabic
Prime Minister - Ahmed Hachani
Turkey,Ankara,Turkish lira (YTL),Turkish
President – Recep Tayyip Erdoğan
Turkmenistan,Ashgabat,Manat,Turkmen
President – Serdar Berdimuhamedow
Tuvalu,Vaiaku village, Funafuti province,Tuvaluan Dollar,Tuvaluan, English
Prime Minister – Kausea Natano
Uganda,Kampala,Ugandan new shilling,Swahili, English, Luganda
Prime Minister – Robinah Nabbanja
Ukraine,Kiev,Hryvnia,Ukrainian
President - Denys Shmyhal
United Arab Emirates,Abu Dhabi,U.A.E. Dirham,Arabic
Prime Minister – Sheikh Mohammed bin Rashid Al Maktoum
United Kingdom,London,Pound sterling,English
Prime Minister – Rishi Sunak
United States of America,Washington D.C.,Dollar,English
President – Joe Biden
Uruguay,Montevideo,Uruguay peso,Spanish
President – Luis Lacalle Pou
Uzbekistan,Tashkent,Uzbekistani sum,Uzbek
Prime Minister – Abdulla Aripov
Vanuatu,Port-Vila,Vatu,Bislama, French, English
Prime Minister – Charlot Salwai
Vatican City (Holy See),Vatican City,Euro,Italian
President - Fernando Vérgez Alzaga
Venezuela,Caracas,Bolivar,Spanish
President – Nicolás Maduro
Vietnam,Hanoi,Dong,Vietnamese
Prime Minister - Nguyễn Phú Trọng
Yemen,Sanaa,Rial,Arabic
Prime Minister – Maeen Abdulmalik Saeed
Zambia,Lusaka,Kwacha,English
President – Hakainde Hichilema
Zimbabwe,Harare,United States dollar,English, Shona, Ndebele
President – Emmerson Mnangagwa















